Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF 10V","C_0402_1005Metric",151.434800,-90.627200,90.000000,top
"C2","10nF 10V","C_0402_1005Metric",151.028400,-88.595200,-90.000000,top
"C3","100nF 10V","C_0402_1005Metric",150.368000,-90.627200,90.000000,top
"C4","100nF 10V","C_0402_1005Metric",152.044400,-87.223600,-90.000000,top
"C5","10uF 16V","C_0805_2012Metric",151.003000,-106.807000,180.000000,top
"C6","22pF 50V","C_0603_1608Metric",150.749000,-98.679000,-90.000000,top
"C7","10uF 16V","C_0805_2012Metric",144.907000,-102.743000,0.000000,top
"C8","1uF 16V","C_0402_1005Metric",140.589000,-72.009000,90.000000,top
"C9","100nF 10V","C_0402_1005Metric",139.573000,-72.009000,90.000000,top
"C10","1uF 16V","C_0402_1005Metric",140.208000,-80.213200,180.000000,top
"C11","10nF 10V","C_0402_1005Metric",138.557000,-72.009000,90.000000,top
"C12","DNP","C_0402_1005Metric",141.097000,-83.312000,90.000000,top
"C13","DNP","C_0402_1005Metric",146.177000,-83.312000,90.000000,top
"C14","1nF 10V","C_0402_1005Metric",150.672800,-93.929200,-90.000000,top
"C15","4.7uF 16V","C_0603_1608Metric",147.574000,-109.728000,0.000000,top
"C16","4.7uF 16V","C_0603_1608Metric",148.082000,-116.000000,180.000000,top
"D1","LESD8D3.3CAT5G","SOD-882",139.442000,-73.834000,180.000000,top
"D2","LED","LED_0603_1608Metric",156.718000,-82.931000,180.000000,top
"D3","LED","LED_0603_1608Metric",142.494000,-113.157000,-90.000000,top
"D4","B5819W","D_SOD-123",151.765000,-109.728000,180.000000,top
"D5","LESD5D5.0CT1G","D_SOD-523",146.304000,-118.872000,90.000000,top
"D6","B5819W","D_SOD-123",144.018000,-117.348000,-90.000000,top
"D7","LESD5D5.0CT1G","D_SOD-523",149.860000,-118.872000,90.000000,top
"D8","LESD5D5.0CT1G","D_SOD-523",148.082000,-118.872000,90.000000,top
"J1","USB4105-GF-A","GCT_USB4105-GF-A",148.082000,-125.984000,0.000000,top
"L1","SPH4018H2R2MT (2.2uH 2.2A)","L_Bourns-SRN4018",145.161000,-106.299000,180.000000,top
"Q1","DMG3415U","SOT-23",151.892000,-113.665000,-90.000000,top
"R1","10kR","R_0402_1005Metric",148.539200,-101.346000,180.000000,top
"R2","100kR 1%","R_0402_1005Metric",152.425400,-101.346000,180.000000,top
"R3","22k1R 1%","R_0402_1005Metric",150.495000,-101.346000,180.000000,top
"R4","5k1R 1%","R_0402_1005Metric",153.800000,-123.952000,-90.000000,top
"R5","0R 1%","R_0402_1005Metric",142.400000,-125.900000,90.000000,top
"R6","5k1R 1%","R_0402_1005Metric",142.400000,-123.900000,-90.000000,top
"R7","0R 1%","R_0402_1005Metric",150.469600,-85.953600,0.000000,top
"R8","10kR 1%","R_0402_1005Metric",140.208000,-77.470000,0.000000,top
"R9","10kR 1%","R_0402_1005Metric",145.110200,-111.429800,-90.000000,top
"R10","470R 1%","R_0402_1005Metric",154.178000,-82.931000,0.000000,top
"R12","DNP","R_0402_1005Metric",143.642000,-85.034000,0.000000,top
"R14","1kR 1%","R_0402_1005Metric",144.526000,-114.173000,180.000000,top
"R15","100kR 1%","R_0402_1005Metric",154.305000,-113.665000,-90.000000,top
"R17","10kR 1%","R_0402_1005Metric",149.961600,-84.378800,90.000000,top
"R18","10kR 1%","R_0402_1005Metric",148.336000,-84.378800,-90.000000,top
"R19","10kR 1%","R_0402_1005Metric",151.028400,-84.378800,90.000000,top
"SW1","SW_Push","SW_SPST_PTS810",142.792000,-97.484000,90.000000,top
"SW2","SW_Push","SW_SPST_PTS810",153.416000,-97.536000,90.000000,top
"U1","SHTC3","SON100P200X200X80-5N",148.082000,-91.434000,180.000000,top
"U2","ICM-42670-P","IC_ICM-42670-P",148.092000,-88.034000,0.000000,top
"U3","ESP32-C3-MINI-1","ESP32-C3-MINI-1",148.082000,-76.200000,0.000000,top
"U5","SY8088","SOT-23-5",150.114000,-103.886000,0.000000,top
"U6","MCP73831-2-OT","SOT-23-5",147.447000,-113.157000,90.000000,top
"Y1","32.768Hz","Crystal_SMD_3215-2Pin_3.2x1.5mm",143.637000,-83.312000,180.000000,top
